player_name,team,season,position,minutes_played,goals,assists,yellow_cards,red_cards
Alberto Marí,Valencia,s2425,FW,7.0,0.0,0.0,0.0,0.0
Alberto Moleiro,Las Palmas,s2324,Not Available,1807.0,3.0,3.0,1.0,0.0
Alberto Moleiro,Las Palmas,s2425,LW,86.0,0.0,0.0,0.0,0.0
Alberto Moreno,Villarreal,s2122,Defender,1222.0,3.0,2.0,3.0,0.0
Alberto Moreno,Villarreal,s2223,   D(L) M(L),848.0,0.0,0.0,5.0,0.0
Alberto Moreno,Villarreal,s2324,Not Available,1490.0,2.0,2.0,1.0,2.0
Alberto Moreno Rebanal,Atlético Madrid,s2122,Midfielder,0.0,0.0,0.0,0.0,0.0
Alberto Perea,Cádiz,s2122,Midfielder,775.0,0.0,1.0,2.0,0.0
Alberto Risco,Getafe,s2324,Not Available,135.0,0.0,0.0,0.0,0.0
Alberto Risco,Getafe,s2425,LW,16.0,0.0,0.0,0.0,0.0
Alberto Rodríguez,Fuenlabrada,s2122,Defender,681.0,0.0,0.0,5.0,0.0
Alberto Soro,Granada,s2122,Midfielder,575.0,0.0,0.0,0.0,0.0
Aleix Febas,Málaga,s2122,Midfielder,1414.0,2.0,1.0,2.0,0.0
Aleix García,Girona,s2223,   DMC,2148.0,1.0,5.0,1.0,0.0
Aleix García,Girona,s2324,Not Available,3201.0,3.0,6.0,4.0,1.0
Aleix Gorjón,Espanyol,s2122,Forward,0.0,0.0,0.0,0.0,0.0
Aleix Vidal,Espanyol,s2122,Defender,1905.0,2.0,0.0,10.0,0.0
Aleix Vidal,Espanyol,s2223,   D(R) M(LR),882.0,0.0,1.0,4.0,0.0
Alejandro Alfaro,Elche,s2223,   Midfielder,14.0,0.0,0.0,0.0,0.0
Alejandro Asensio,Rayo Vallecano,s2122,Forward,12.0,0.0,0.0,0.0,0.0
Alejandro Balboa Bandeira,Alavés,s2122,Midfielder,0.0,0.0,0.0,0.0,0.0
Alejandro Balde,Barcelona,s2223,   D(LR),1574.0,0.0,4.0,2.0,0.0
Alejandro Balde,Barcelona,s2425,LB,63.0,0.0,0.0,0.0,0.0
Alejandro Balde Martínez,Barcelona,s2122,Defender,187.0,0.0,0.0,0.0,0.0
Alejandro Berenguer Remiro,Athletic Club,s2122,Forward,2172.0,3.0,6.0,8.0,0.0
Alejandro Blanco,Unknown,s2122,Unknown,0.0,0.0,0.0,0.0,0.0
Alejandro Blesa,Unknown,s2122,Unknown,0.0,0.0,0.0,0.0,0.0
Alejandro Cantero,Levante,s2122,Forward,595.0,0.0,1.0,1.0,0.0
Alejandro Catena,Osasuna,s2324,Not Available,2536.0,1.0,3.0,8.0,1.0
Alejandro Catena,Osasuna,s2425,CB,90.0,0.0,0.0,0.0,0.0
Alejandro Catena,Rayo Vallecano,s2122,Defender,3240.0,2.0,2.0,8.0,0.0
Alejandro Catena,Rayo Vallecano,s2223,   D(C),2070.0,1.0,1.0,7.0,1.0
Alejandro Fernández Iglesias,Cádiz,s2122,Midfielder,2051.0,3.0,2.0,2.0,0.0
Alejandro Francés,Girona,s2425,RB,90.0,0.0,0.0,0.0,0.0
Alejandro Gómez,Sevilla,s2122,Midfielder,1787.0,5.0,1.0,4.0,0.0
Alejandro Orellana Gómez,Barcelona,s2122,Midfielder,0.0,0.0,0.0,0.0,0.0
Alejandro Pozo,Almería,s2122,Midfielder,3174.0,3.0,3.0,1.0,0.0
Alejandro Pozo,Almería,s2223,   D(R) M(R),1122.0,0.0,2.0,0.0,0.0
Alejandro Pozo,Almería,s2324,Not Available,970.0,0.0,0.0,3.0,0.0
Alejandro Primo,Levante,s2122,Goalkeeper,90.0,0.0,0.0,0.0,0.0
Alejandro Pérez Cea,Espanyol,s2122,Midfielder,0.0,0.0,0.0,0.0,0.0
Alejandro Remiro Gargallo,Real Sociedad,s2122,Goalkeeper,3150.0,0.0,0.0,1.0,0.0
Alejo Véliz,Espanyol,s2425,FW,69.0,0.0,0.0,0.0,0.0
Alejo Véliz,Sevilla,s2324,Not Available,31.0,0.0,0.0,0.0,0.0
Aleksandar Radovanovic,Almería,s2324,Not Available,571.0,0.0,0.0,2.0,0.0
Aleksandar Sedlar,Alavés,s2324,Not Available,948.0,1.0,0.0,2.0,0.0
Aleksandar Sedlar,Alavés,s2425,CB,85.0,0.0,0.0,1.0,1.0
Aleksander Sedlar,Mallorca,s2122,Defender,401.0,0.0,0.0,3.0,1.0
Alessandro Burlamaqui,Valencia,s2122,Midfielder,0.0,0.0,0.0,0.0,0.0
Alex Král,Espanyol,s2425,CM,34.0,0.0,0.0,0.0,0.0
Alex Padilla,Athletic Club,s2425,GK,90.0,0.0,0.0,0.0,0.0
Alex Petxarroman,Athletic Club,s2122,Defender,401.0,0.0,0.0,4.0,0.0
Alex Telles,Sevilla,s2223,   D(L) M(L),924.0,0.0,2.0,4.0,0.0
Alexander Callens,Girona,s2223,   D(CL),52.0,0.0,0.0,0.0,0.0
Alexander Isak,Real Sociedad,s2122,Forward,2155.0,6.0,2.0,6.0,0.0
Alexander Isak,Real Sociedad,s2223,   FW,154.0,1.0,0.0,0.0,0.0
Alexander Sørloth,Atlético Madrid,s2425,FW,45.0,1.0,0.0,0.0,0.0
Alexander Sørloth,Real Sociedad,s2122,Forward,1760.0,4.0,0.0,2.0,0.0
Alexander Sørloth,Real Sociedad,s2223,   AM(R) FW,1600.0,9.0,1.0,4.0,0.0
Alexander Sørloth,Villarreal,s2324,Not Available,2491.0,23.0,6.0,3.0,0.0
Alexandre Moreno Lopera,Real Betis,s2122,Forward,2407.0,5.0,3.0,3.0,1.0
Alexandru Mircea Tirlea,Alavés,s2122,Midfielder,14.0,0.0,0.0,0.0,0.0
Alfon,Celta de Vigo,s2425,RW,69.0,0.0,0.0,0.0,0.0
Alfonso Espino,Cádiz,s2122,Defender,3329.0,2.0,2.0,6.0,0.0
Alfonso Espino,Cádiz,s2223,   D(L),2043.0,0.0,3.0,6.0,0.0
Alfonso Espino,Rayo Vallecano,s2324,Not Available,2512.0,0.0,1.0,9.0,0.0
Alfonso Espino,Rayo Vallecano,s2425,LB,90.0,0.0,0.0,0.0,0.0
Alfonso González Martínez,Celta de Vigo,s2122,Forward,0.0,0.0,0.0,0.0,0.0
Alfonso Pastor,Sevilla,s2122,Goalkeeper,0.0,0.0,0.0,0.0,0.0
Alfonso Pedraza,Villarreal,s2122,Forward,1703.0,4.0,4.0,2.0,0.0
Alfonso Pedraza,Villarreal,s2223,   D(L) M(L),950.0,0.0,1.0,1.0,0.0
Alfonso Pedraza,Villarreal,s2324,Not Available,1119.0,1.0,3.0,4.0,1.0
Allan Nyom,Getafe,s2425,LM,1.0,0.0,0.0,0.0,0.0
Allan-Roméo Nyom,Leganés,s2122,Defender,1263.0,1.0,1.0,5.0,0.0
Amankwaa Akurugu,Unknown,s2122,Unknown,0.0,0.0,0.0,0.0,0.0
Amath,Valladolid,s2425,RW,69.0,0.0,1.0,0.0,0.0
Amath Ndiaye,Mallorca,s2122,Forward,884.0,0.0,1.0,5.0,0.0
Amath Ndiaye,Mallorca,s2223,   AM(L),558.0,1.0,0.0,2.0,0.0
Amath Ndiaye,Mallorca,s2324,Not Available,388.0,0.0,0.0,2.0,0.0
Anastasios Douvikas,Celta de Vigo,s2324,Not Available,886.0,7.0,1.0,2.0,0.0
Anastasios Douvikas,Celta de Vigo,s2425,FW,77.0,0.0,0.0,0.0,0.0
Ander Barrenetxea,Real Sociedad,s2122,Forward,548.0,1.0,1.0,0.0,0.0
Ander Barrenetxea,Real Sociedad,s2223,   M(LR),403.0,1.0,0.0,3.0,0.0
Ander Barrenetxea,Real Sociedad,s2324,Not Available,1436.0,4.0,1.0,1.0,0.0
Ander Barrenetxea,Real Sociedad,s2425,LM,23.0,0.0,0.0,0.0,0.0
Ander Capa,Athletic Club,s2122,Defender,3.0,0.0,0.0,0.0,0.0
Ander Capa,Athletic Club,s2223,   D(R) M(R),25.0,0.0,0.0,0.0,0.0
Ander Guevara,Alavés,s2324,Not Available,2936.0,1.0,0.0,7.0,0.0
Ander Guevara,Alavés,s2425,DM,79.0,0.0,0.0,0.0,0.0
Ander Guevara,Real Sociedad,s2122,Midfielder,870.0,0.0,0.0,2.0,0.0
Ander Guevara,Real Sociedad,s2223,   DMC,133.0,0.0,0.0,1.0,0.0
Ander Herrera,Athletic Club,s2223,   M(C),308.0,0.0,1.0,3.0,1.0
Ander Herrera,Athletic Club,s2324,Not Available,1023.0,0.0,3.0,4.0,0.0
Ander Herrera,Athletic Club,s2425,DM,34.0,0.0,0.0,1.0,0.0
Ander Iruarrizaga,Athletic Club,s2122,Goalkeeper,0.0,0.0,0.0,0.0,0.0
Ander Martín,Real Sociedad,s2122,Forward,85.0,0.0,0.0,0.0,0.0
Ander Martín,Real Sociedad,s2223,   Forward,39.0,0.0,0.0,0.0,0.0
Andoni Gorosabel,Alavés,s2324,Not Available,2863.0,1.0,0.0,6.0,0.0
Andoni Gorosabel,Athletic Club,s2425,RB,80.0,0.0,0.0,1.0,0.0
Andoni Gorosabel,Real Sociedad,s2122,Defender,2296.0,0.0,4.0,4.0,0.0
Andoni Gorosabel,Real Sociedad,s2223,   D(R),911.0,0.0,0.0,2.0,0.0
Andreas Christensen,Barcelona,s2223,   D(C) DMC,1176.0,0.0,1.0,2.0,0.0
Andreas Christensen,Barcelona,s2324,Not Available,1990.0,2.0,2.0,4.0,0.0
Andreas Christensen,Barcelona,s2425,CB,27.0,0.0,0.0,1.0,0.0
Andrei Ratiu,Rayo Vallecano,s2324,Not Available,627.0,0.0,0.0,1.0,0.0
Andrei Ratiu,Rayo Vallecano,s2425,RB,79.0,0.0,0.0,0.0,0.0
Andrii Lunin,Real Madrid,s2122,Goalkeeper,180.0,0.0,0.0,0.0,0.0
Andriy Lunin,Real Madrid,s2223,   GK,540.0,0.0,0.0,0.0,0.0
Andriy Lunin,Real Madrid,s2324,Not Available,1890.0,0.0,0.0,2.0,0.0
Andriy Lunin,Real Madrid,s2425,GK,90.0,0.0,0.0,0.0,0.0
André Almeida,Valencia,s2223,   M(C),1582.0,2.0,3.0,2.0,0.0
André Almeida,Valencia,s2324,Not Available,969.0,2.0,1.0,0.0,0.0
André Ferreira,Granada,s2324,Not Available,1339.0,0.0,0.0,1.0,0.0
André Silva,Real Sociedad,s2324,Not Available,730.0,3.0,0.0,1.0,0.0
Andrés Guardado,Real Betis,s2122,Midfielder,1394.0,0.0,1.0,4.0,0.0
Andrés Guardado,Real Betis,s2223,   D(L) M(CL),882.0,1.0,1.0,4.0,0.0
Andrés Guardado,Real Betis,s2324,Not Available,442.0,0.0,0.0,2.0,0.0
Andrés Martín,Rayo Vallecano,s2223,   Forward,145.0,0.0,0.0,1.0,0.0
Andrés Martín,Tenerife,s2122,Forward,699.0,2.0,2.0,1.0,0.0
Anssumane Fati Vieira,Barcelona,s2122,Forward,331.0,4.0,0.0,0.0,0.0
Ansu Fati,Barcelona,s2223,   AM(L) FW,925.0,3.0,3.0,2.0,0.0
Ansu Fati,Barcelona,s2324,Not Available,47.0,0.0,0.0,0.0,0.0
Ansu Fati,Barcelona,s2425,"RW,LW",24.0,0.0,0.0,0.0,0.0
Antal Yaakobishvili,Girona,s2324,Not Available,60.0,0.0,0.0,0.0,0.0
Ante Budimir,Osasuna,s2122,Forward,1742.0,8.0,2.0,3.0,0.0
Ante Budimir,Osasuna,s2223,   FW,1111.0,2.0,0.0,2.0,0.0
Ante Budimir,Osasuna,s2324,Not Available,2449.0,17.0,2.0,4.0,0.0
Ante Budimir,Osasuna,s2425,FW,90.0,0.0,0.0,0.0,0.0
Anthony Lozano,Almería,s2324,Not Available,866.0,3.0,0.0,2.0,0.0
Anthony Lozano,Cádiz,s2122,Forward,1677.0,7.0,2.0,8.0,0.0
Anthony Lozano,Cádiz,s2223,   AM(L) FW,1191.0,0.0,0.0,3.0,0.0
Anthony Martial,Sevilla,s2122,Forward,495.0,0.0,1.0,1.0,0.0
Antoine Griezmann,Atlético Madrid,s2122,Forward,1706.0,3.0,4.0,3.0,0.0
Antoine Griezmann,Atlético Madrid,s2223,   AM(CLR) FW,1693.0,8.0,8.0,0.0,0.0
Antoine Griezmann,Atlético Madrid,s2324,Not Available,2654.0,16.0,6.0,5.0,0.0
Antoine Griezmann,Atlético Madrid,s2425,"AM,FW",77.0,0.0,1.0,0.0,0.0
Antonio Barragán,Elche,s2122,Defender,1022.0,0.0,0.0,5.0,0.0
Antonio Blanco,Alavés,s2324,Not Available,2436.0,0.0,1.0,5.0,1.0
Antonio Blanco,Alavés,s2425,DM,90.0,0.0,1.0,0.0,0.0
Antonio Blanco,Cádiz,s2223,   Midfielder,159.0,0.0,0.0,0.0,0.0
Antonio Blanco,Real Madrid,s2122,Midfielder,30.0,0.0,0.0,0.0,0.0
Antonio Gomís Alemañ,Atlético Madrid,s2122,Goalkeeper,0.0,0.0,0.0,0.0,0.0
Antonio Latorre,Valencia,s2122,Defender,591.0,0.0,1.0,5.0,0.0
Antonio Leal,Unknown,s2122,Unknown,0.0,0.0,0.0,0.0,0.0
Antonio Marchena,Real Betis,s2122,Midfielder,0.0,0.0,0.0,0.0,0.0
Antonio Moya,Alavés,s2122,Defender,1383.0,0.0,1.0,2.0,0.0
Antonio Pacheco,Villarreal,s2122,Midfielder,0.0,0.0,0.0,0.0,0.0
Antonio Puertas,Granada,s2324,Not Available,720.0,0.0,2.0,3.0,1.0
Antonio Raíllo,Mallorca,s2122,Defender,1530.0,2.0,0.0,8.0,0.0
Antonio Raíllo,Mallorca,s2223,   D(C),2160.0,1.0,1.0,8.0,0.0
Antonio Raíllo,Mallorca,s2324,Not Available,2198.0,3.0,2.0,4.0,1.0
Antonio Raíllo,Mallorca,s2425,CB,90.0,0.0,0.0,0.0,0.0
Antonio Rüdiger,Real Madrid,s2223,   D(CR),1509.0,1.0,0.0,1.0,0.0
Antonio Rüdiger,Real Madrid,s2324,Not Available,2707.0,1.0,0.0,7.0,0.0
Antonio Rüdiger,Real Madrid,s2425,CB,90.0,0.0,0.0,0.0,0.0
Antonio Sivera,Alavés,s2122,Goalkeeper,276.0,0.0,0.0,1.0,0.0
Antonio Sivera,Alavés,s2324,Not Available,3060.0,0.0,0.0,3.0,0.0
Antonio Sivera,Alavés,s2425,GK,90.0,0.0,0.0,0.0,0.0
Antonio Sánchez,Mallorca,s2122,Midfielder,1622.0,1.0,0.0,3.0,0.0
Antonio Sánchez,Mallorca,s2223,   AM(CR),647.0,0.0,0.0,4.0,0.0
Antonio Sánchez,Mallorca,s2324,Not Available,1463.0,3.0,1.0,3.0,0.0
Antonio Sánchez,Mallorca,s2425,RW,24.0,0.0,0.0,0.0,0.0
Antonio Zarzana,Sevilla,s2122,Forward,0.0,0.0,0.0,0.0,0.0
Antoniu,Espanyol,s2425,LM,21.0,0.0,0.0,1.0,0.0
Anuar Tuhami,Valladolid,s2223,   AM(C),212.0,1.0,0.0,1.0,0.0
Anuar Tuhami,Valladolid,s2425,"LM,RM",88.0,1.0,0.0,0.0,0.0
Arda Güler,Real Madrid,s2324,Not Available,373.0,6.0,0.0,1.0,0.0
Arda Güler,Real Madrid,s2425,RM,3.0,0.0,0.0,0.0,0.0
Aridane Hernández,Osasuna,s2122,Defender,1159.0,0.0,0.0,1.0,0.0
Aridane Hernández,Osasuna,s2223,   D(C),864.0,0.0,0.0,0.0,0.0
Aridane Hernández,Rayo Vallecano,s2324,Not Available,1691.0,0.0,0.0,3.0,0.0
Aridane Hernández,Rayo Vallecano,s2425,CB,18.0,0.0,0.0,0.0,0.0
Aritz Arambarri,Leganés,s2425,CB,87.0,0.0,0.0,0.0,0.0
Aritz Elustondo,Real Sociedad,s2122,Defender,2102.0,4.0,1.0,3.0,1.0
Aritz Elustondo,Real Sociedad,s2223,   D(CR),1031.0,0.0,1.0,4.0,1.0
Aritz Elustondo,Real Sociedad,s2324,Not Available,808.0,0.0,1.0,2.0,0.0
Aritz Elustondo,Real Sociedad,s2425,CB,90.0,0.0,0.0,0.0,0.0
Arnau Comas,Barcelona,s2122,Defender,0.0,0.0,0.0,0.0,0.0
Arnau Martinez,Girona,s2223,   D(R),1670.0,2.0,2.0,7.0,0.0
Arnau Martinez,Girona,s2324,Not Available,1240.0,0.0,2.0,5.0,0.0
Arnau Martinez,Girona,s2425,"RB,CM",90.0,0.0,0.0,0.0,0.0
Arnau Puigmal,Almería,s2223,   Midfielder,377.0,0.0,0.0,3.0,0.0
Arnau Puigmal,Almería,s2324,Not Available,248.0,0.0,0.0,3.0,0.0
Arnau Tenas,Barcelona,s2122,Goalkeeper,0.0,0.0,0.0,0.0,0.0
Arnau Tenas,Barcelona,s2223,   Goalkeeper,1.0,0.0,0.0,1.0,0.0
Arnaut Danjuma,Villarreal,s2122,Midfielder,1477.0,10.0,3.0,2.0,0.0
Arnaut Danjuma,Villarreal,s2223,   AM(L) FW,480.0,2.0,0.0,0.0,0.0
Arnaut Danjuma,Villarreal,s2425,FW,78.0,1.0,0.0,0.0,0.0
Arsen Zakharyan,Real Sociedad,s2324,Not Available,1229.0,1.0,2.0,1.0,0.0
Artem Dovbyk,Girona,s2324,Not Available,2605.0,24.0,8.0,2.0,0.0
Arthur Vermeeren,Atlético Madrid,s2324,Not Available,159.0,0.0,0.0,2.0,0.0
Asier Illarramendi,Real Sociedad,s2122,Midfielder,377.0,0.0,0.0,1.0,0.0
Asier Illarramendi,Real Sociedad,s2223,   M(C),662.0,1.0,0.0,3.0,0.0
Asier Villalibre,Alavés,s2425,FW,11.0,0.0,0.0,0.0,0.0
Asier Villalibre,Athletic Club,s2122,Forward,538.0,2.0,0.0,0.0,0.0
Asier Villalibre,Athletic Club,s2324,Not Available,503.0,2.0,1.0,0.0,0.0
Assane Diao,Real Betis,s2324,Not Available,1052.0,2.0,0.0,4.0,0.0
Assane Diao,Real Betis,s2425,RW,19.0,0.0,0.0,0.0,0.0
Augusto Batalla,Granada,s2324,Not Available,1530.0,0.0,0.0,3.0,0.0
Augusto Batalla,Rayo Vallecano,s2425,GK,90.0,0.0,0.0,0.0,0.0
Augusto Solari,Celta de Vigo,s2122,Midfielder,698.0,0.0,0.0,5.0,0.0
Augusto Solari,Celta de Vigo,s2223,   AM(CR),211.0,0.0,1.0,0.0,0.0
Aurélien Tchouaméni,Real Madrid,s2223,   DMC,1252.0,0.0,3.0,1.0,0.0
Aurélien Tchouaméni,Real Madrid,s2324,Not Available,1987.0,3.0,1.0,7.0,0.0
Aurélien Tchouaméni,Real Madrid,s2425,CM,62.0,0.0,0.0,0.0,0.0
Awer Mabil,Cádiz,s2223,   AM(LR) FW,163.0,0.0,0.0,0.0,0.0
Axel Werner,Unknown,s2122,Unknown,0.0,0.0,0.0,0.0,0.0
Axel Witsel,Atlético Madrid,s2223,   D(C) M(C),1387.0,0.0,0.0,2.0,0.0
Axel Witsel,Atlético Madrid,s2324,Not Available,2784.0,2.0,0.0,5.0,0.0
Axel Witsel,Atlético Madrid,s2425,CB,45.0,0.0,0.0,0.0,0.0
Ayoze Pérez,Real Betis,s2223,   AM(CLR) FW,347.0,0.0,0.0,0.0,0.0
Ayoze Pérez,Real Betis,s2324,Not Available,2307.0,9.0,1.0,4.0,0.0
Ayoze Pérez,Villarreal,s2425,FW,12.0,0.0,0.0,0.0,0.0
Aïssa Mandi,Villarreal,s2122,Defender,1374.0,1.0,0.0,3.0,0.0
Aïssa Mandi,Villarreal,s2223,   D(CLR),438.0,0.0,0.0,0.0,0.0
Aïssa Mandi,Villarreal,s2324,Not Available,1113.0,1.0,0.0,3.0,0.0
Bebé,Rayo Vallecano,s2223,   AM(LR) FW,57.0,0.0,0.0,1.0,0.0
Bebé,Rayo Vallecano,s2324,Not Available,193.0,2.0,0.0,1.0,0.0
Ben Brereton Diaz,Villarreal,s2324,Not Available,261.0,0.0,0.0,2.0,0.0
Benito Ramírez,Las Palmas,s2324,Not Available,368.0,1.0,1.0,0.0,0.0
Benito Ramírez,Las Palmas,s2425,LB,13.0,0.0,0.0,0.0,0.0
Benjamin Lecomte,Atlético Madrid,s2122,Goalkeeper,0.0,0.0,0.0,1.0,0.0
Benjamin Lecomte,Espanyol,s2223,   GK,900.0,0.0,0.0,1.0,1.0
