player_name,team,position,assists,goals,minutes_played,red_cards,yellow_cards,season
José Fontán,RC Celta,Defender,,,273.0,,3.0,s2122
José Gayà,Valencia CF,Defender,4.0,2.0,1874.0,2.0,7.0,s2122
José Giménez,Atlético de Madrid,Defender,1.0,1.0,2046.0,,8.0,s2122
José Luis Friaza,,,,,,,,s2122
José Luis Morales,Levante UD,Forward,7.0,13.0,2723.0,,7.0,s2122
José Macías,,,,,,,,s2122
José Manuel López Sánchez,Levante UD,Defender,,,,,,s2122
José Manuel Calderón,,,,,,,,s2122
José María Martín-Bejarano Serrano,Cádiz CF,Midfielder,,,383.0,1.0,1.0,s2122
José Ángel Carmona,Sevilla FC,Defender,,,23.0,,,s2122
José Pozo,,,,,,,,s2122
João Félix Sequeira,Atlético de Madrid,Forward,4.0,8.0,1264.0,1.0,1.0,s2122
Juan Artola,Athletic Club,Forward,,,,,,s2122
Juan Torres Ruiz,Cádiz CF,Defender,,,945.0,1.0,7.0,s2122
Juan Carlos Arana Gómez,Villarreal CF,Forward,,,,,,s2122
Juan Cruz Álvaro Armado,CA Osasuna,Defender,,,1934.0,,4.0,s2122
Juan Flere,Cádiz CF,Goalkeeper,,,,,,s2122
Juan Foyth,Villarreal CF,Defender,1.0,1.0,1932.0,1.0,4.0,s2122
Juan Antonio Iglesias,Getafe CF,Defender,1.0,,709.0,,1.0,s2122
Juan Miguel Latasa,Real Madrid,Forward,,,9.0,,,s2122
Juan Miranda,Real Betis,Defender,2.0,,782.0,,3.0,s2122
Juan Pérez,CA Osasuna,Goalkeeper,,,180.0,,,s2122
Juan Luis Sánchez Velasco,Sevilla FC,Defender,,,4.0,,1.0,s2122
Juan Miguel Jiménez López,Real Betis,Forward,4.0,16.0,2145.0,,5.0,s2122
Julen Agirrezabala,Athletic Club,Goalkeeper,,,360.0,,,s2122
Julen Lobete,Real Sociedad,Forward,,2.0,276.0,,,s2122
Jules Koundé,Sevilla FC,Defender,1.0,2.0,2737.0,2.0,2.0,s2122
Karim Benzema,Real Madrid,Forward,12.0,27.0,2596.0,,,s2122
Karim Rekik,Sevilla FC,Defender,2.0,,1094.0,,2.0,s2122
Keidi Bare,RCD Espanyol de Barcelona,Midfielder,1.0,1.0,1485.0,,9.0,s2122
Kevin Vázquez,RC Celta,Defender,1.0,,1331.0,,3.0,s2122
Kieran Trippier,Newcastle,Defender,,2.0,429.0,,,s2122
Enrique Barja Alfonso,CA Osasuna,Forward,,2.0,863.0,,2.0,s2122
Enrique García Martínez,CA Osasuna,Forward,1.0,5.0,1857.0,,2.0,s2122
Enrique Gómez Hermoso,Real Betis,Midfielder,,1.0,90.0,,,s2122
Enrique Pérez Muñoz,Elche CF,Midfielder,,2.0,518.0,,1.0,s2122
Enrique Jesús Salas Valiente,Sevilla FC,Defender,,,,,,s2122
Francisco Casilla Cortés,Elche CF,Goalkeeper,,,1260.0,,3.0,s2122
Koba Koindredi,Valencia CF,Midfielder,,,175.0,,1.0,s2122
Amankwaa Akurugu,,,,,,,,s2122
Jorge Resurrección,Atlético de Madrid,Midfielder,2.0,1.0,2509.0,,6.0,s2122
Jorge Ruiz Ojeda,,,,,,,,s2122
Kévin Manuel Rodrigues,Rayo Vallecano,Defender,,,433.0,,,s2122
Junior Wakalible Lago,SD Huesca,Forward,,,331.0,,,s2122
José Manuel Cabrera,Villarreal CF,Defender,,,,,,s2122
Landry Dimata,RCD Espanyol de Barcelona,Forward,,,536.0,,,s2122
Lassina Sangare,Valencia CF,Midfielder,,,,,,s2122
Lazar Carevic,FC Barcelona,Goalkeeper,,,,,,s2122
Leandro Cabrera,RCD Espanyol de Barcelona,Defender,,2.0,3330.0,,7.0,s2122
Kang-In Lee,RCD Mallorca,Midfielder,2.0,1.0,1409.0,1.0,1.0,s2122
Leonardo Román Riquelme,RCD Mallorca,Goalkeeper,,,180.0,,,s2122
Lluis Andreu,Elche CF,Goalkeeper,,,,,,s2122
Lluís Recasens,RCD Espanyol de Barcelona,Forward,,,45.0,,,s2122
Lorenzo Morón,RCD Espanyol de Barcelona,Forward,,1.0,555.0,,,s2122
Luca Koleosho,RCD Espanyol de Barcelona,Forward,,,1.0,,,s2122
Luca Zidane,Rayo Vallecano,Goalkeeper,,,646.0,1.0,,s2122
Lucas Boyé,Elche CF,Forward,3.0,7.0,1723.0,,3.0,s2122
Lucas Ocampos,Sevilla FC,Forward,4.0,6.0,2124.0,,7.0,s2122
Lucas Olaza,Elche CF,Defender,,1.0,293.0,,1.0,s2122
Lucas Pérez,Cádiz CF,Forward,2.0,3.0,1060.0,,1.0,s2122
Lucas Torró,CA Osasuna,Midfielder,,1.0,2732.0,,10.0,s2122
Lucas Vázquez,Real Madrid,Forward,,3.0,1835.0,,3.0,s2122
Lucas De Vega Lima,FC Barcelona,Forward,,,,,,s2122
Ludwig Augustinsson,Sevilla FC,Defender,1.0,,789.0,,3.0,s2122
Luis Abram,,,,,,,,s2122
Luis Bilbao,Athletic Club,Forward,,,,,,s2122
Luis Hernández,Cádiz CF,Defender,,,1365.0,,5.0,s2122
Luis Federico López Andúgar,Real Madrid,Goalkeeper,,,,,,s2122
Luis Milla,Granada CF,Midfielder,3.0,3.0,2785.0,,4.0,s2122
Luis Rioja,Deportivo Alavés,Midfielder,3.0,1.0,3126.0,,3.0,s2122
Luis Suárez,Atlético de Madrid,Forward,2.0,11.0,1835.0,,7.0,s2122
Luis Suárez,Granada CF,Forward,4.0,8.0,2855.0,,6.0,s2122
Luis Miguel Cruz Hernández,Sevilla FC,Forward,,,12.0,,,s2122
Luka Jovic,Real Madrid,Forward,3.0,1.0,359.0,,1.0,s2122
Luka Modrić,Real Madrid,Midfielder,8.0,2.0,2049.0,,5.0,s2122
Luuk de Jong,FC Barcelona,Forward,,6.0,643.0,,1.0,s2122
Luís Manuel Arantes Maximiano,Granada CF,Goalkeeper,,,3137.0,,2.0,s2122
Mamadou Loum,Deportivo Alavés,Midfielder,,2.0,2317.0,,9.0,s2122
Mamadou Sylla,Rayo Vallecano,Forward,,,247.0,,2.0,s2122
Manuel Reina,RCD Mallorca,Goalkeeper,,,1890.0,1.0,5.0,s2122
Manuel García,Deportivo Alavés,Forward,1.0,,1074.0,,3.0,s2122
Manuel Morlanes Ariño,RCD Espanyol de Barcelona,Midfielder,,2.0,1138.0,1.0,6.0,s2122
Manuel Sánchez,CA Osasuna,Defender,3.0,1.0,2258.0,,5.0,s2122
Manuel Trigueros Muñoz,Villarreal CF,Midfielder,4.0,6.0,2191.0,,3.0,s2122
Manuel Javier Vallejo Galván,Deportivo Alavés,Forward,1.0,1.0,366.0,,,s2122
Manuel Lama,Atlético de Madrid,Defender,,,,,,s2122
Manuel Navarro,Rayo Vallecano,Midfielder,,,,,,s2122
Marc Bartra,Real Betis,Defender,,1.0,1994.0,,5.0,s2122
Marc Carmona,RCD Mallorca,Defender,,,,,,s2122
Marc Cucurella,Brighton,Defender,1.0,1.0,3092.0,,6.0,s2122
Marc Pubill,Levante UD,Defender,1.0,,512.0,,1.0,s2122
Marc Tenas,Deportivo Alavés,Forward,,,51.0,,2.0,s2122
Marc-André ter Stegen,FC Barcelona,Goalkeeper,,,3150.0,,3.0,s2122
Marcelo Vieira Da Silva Junior,Real Madrid,Defender,2.0,,521.0,,,s2122
Marcelo Saracchi,Levante UD,Defender,1.0,,186.0,,2.0,s2122
Marco Asensio,Real Madrid,Midfielder,,10.0,1728.0,,2.0,s2122
Marco Moreno,Atlético de Madrid,Defender,,,,,,s2122
Marcos Acuña,Sevilla FC,Defender,3.0,1.0,2264.0,,10.0,s2122
Marcos André de Sousa Mendonça,Valencia CF,Forward,3.0,1.0,961.0,,3.0,s2122
Marcos Fernández,RCD Mallorca,Defender,,,,,,s2122
Marcos Llorente,Atlético de Madrid,Midfielder,2.0,,2455.0,,5.0,s2122
Marcos Mauro López Gutiérrez,,,,,,,,s2122
Mariano Díaz Mejía,Real Madrid,Forward,1.0,1.0,339.0,,2.0,s2122
Mario Dominguez,Valencia CF,Forward,,,23.0,,,s2122
Mario Gaspar Pérez Martínez,Villarreal CF,Defender,,,621.0,,1.0,s2122
Mario Gila,Real Madrid,Defender,,,23.0,,,s2122
Mario Hermoso,Atlético de Madrid,Defender,1.0,2.0,1868.0,1.0,6.0,s2122
Mario Hernández,Rayo Vallecano,Midfielder,,1.0,393.0,,3.0,s2122
Mario Suárez,Rayo Vallecano,Midfielder,,,710.0,,2.0,s2122
Marko Dmitrović,Sevilla FC,Goalkeeper,,,540.0,,1.0,s2122
Martin Braithwaite,FC Barcelona,Forward,1.0,2.0,237.0,,,s2122
Martin Valjent,RCD Mallorca,Defender,,,3182.0,,4.0,s2122
Martín Aguirregabiria,Deportivo Alavés,Defender,1.0,,1617.0,,4.0,s2122
Martín Calderón,CD Mirandés,Midfielder,2.0,,294.0,,1.0,s2122
Martín Cáceres,Levante UD,Defender,,,669.0,,2.0,s2122
Martín Merquelanz,Rayo Vallecano,Forward,,,176.0,,,s2122
Martín Montoya,Real Betis,Defender,1.0,,519.0,,2.0,s2122
Martín Zubimendi,Real Sociedad,Midfielder,1.0,2.0,2585.0,,4.0,s2122
Matheus Santos Carneiro Da Cunha,Atlético de Madrid,Forward,4.0,6.0,1052.0,,3.0,s2122
Mathew Ryan,Real Sociedad,Goalkeeper,,,270.0,,,s2122
Mathías Olivera,Getafe CF,Defender,3.0,1.0,2807.0,,10.0,s2122
Matt Miazga,Deportivo Alavés,Defender,,,831.0,,2.0,s2122
Matthew Hoppe,RCD Mallorca,Forward,1.0,,129.0,,,s2122
Matías Arezo,Granada CF,Forward,,,156.0,,1.0,s2122
Matías Dituro,RC Celta,Goalkeeper,,,3420.0,,1.0,s2122
Mauro Arambarri,Getafe CF,Midfielder,5.0,,2667.0,,13.0,s2122
Maxime Gonalons,Granada CF,Midfielder,2.0,,1555.0,,6.0,s2122
Maximiliano Gómez,Valencia CF,Forward,1.0,5.0,1960.0,1.0,5.0,s2122
Memphis Depay,FC Barcelona,Forward,2.0,12.0,1847.0,,3.0,s2122
Mickaël Malsa,Levante UD,Midfielder,2.0,1.0,1135.0,,7.0,s2122
Miguel Baeza,SD Ponferradina,Midfielder,,,419.0,,,s2122
Miguel De la Fuente,Deportivo Alavés,Forward,1.0,1.0,826.0,,2.0,s2122
Miguel Gutiérrez,Real Madrid,Defender,1.0,,262.0,,1.0,s2122
Miguel Ángel Brau,Granada CF,Defender,,,,,,s2122
Miguel Ángel Morro,CF Fuenlabrada,Goalkeeper,,,1170.0,,,s2122
Miguel Martín García,RCD Mallorca,Defender,,,,,,s2122
Miguel Llambrich,RCD Espanyol de Barcelona,Defender,,,70.0,,,s2122
Mika Màrmol,FC Barcelona,Defender,,,1.0,,,s2122
Mikel Balenziaga,Athletic Club,Defender,,,2026.0,,2.0,s2122
Mikel Merino,Real Sociedad,Midfielder,2.0,3.0,2894.0,,8.0,s2122
Mikel Oyarzabal,Real Sociedad,Forward,3.0,9.0,1673.0,1.0,,s2122
Mikel Vesga,Athletic Club,Midfielder,,2.0,1355.0,1.0,4.0,s2122
Milutin Osmajic,,,,,,,,s2122
Miralem Pjanic,,,,,,,,s2122
Moisés Gómez Bardonado,Villarreal CF,Midfielder,2.0,2.0,1277.0,,2.0,s2122
Ramón Rodríguez Jiménez,Real Valladolid CF,Midfielder,4.0,2.0,704.0,1.0,,s2122
Mouctar Diakhaby,Valencia CF,Defender,1.0,,1945.0,,11.0,s2122
Munir El-Haddadi,Sevilla FC,Forward,,2.0,468.0,,3.0,s2122
Myrto Uzuni,Granada CF,Midfielder,1.0,1.0,857.0,,4.0,s2122
Nabil Fekir,Real Betis,Forward,8.0,6.0,2807.0,1.0,7.0,s2122
Jose Ignacio Fernandez Iglesias,Real Madrid,Defender,,3.0,1549.0,,7.0,s2122
Ignacio Quintana Navarro,Sevilla FC,Midfielder,,,,,,s2122
Ignacio Vidal Miralles,CA Osasuna,Defender,1.0,,2906.0,,9.0,s2122
Nahuel Tenaglia,Deportivo Alavés,Defender,,,1072.0,,2.0,s2122
Nehuen Pérez,Udinese,Defender,1.0,,1695.0,,6.0,s2122
Nemanja Gudelj,Sevilla FC,Midfielder,,,1040.0,,5.0,s2122
Nemanja Maksimovic,Getafe CF,Midfielder,1.0,1.0,2943.0,,4.0,s2122
Nemanja Radoja,Levante UD,Midfielder,,,1222.0,,3.0,s2122
Norberto Murara Neto,FC Barcelona,Goalkeeper,,,270.0,,,s2122
Nicolás González Iglesias,FC Barcelona,Midfielder,1.0,2.0,1109.0,,6.0,s2122
Nicholas Williams,Athletic Club,Forward,,,1325.0,,4.0,s2122
Nicolas Jackson,Villarreal CF,Forward,,,158.0,,1.0,s2122
Nicolás Melamed,RCD Espanyol de Barcelona,Forward,,2.0,1098.0,1.0,3.0,s2122
Nicolás Serrano,Athletic Club,Forward,,1.0,308.0,,,s2122
Nikita Iosifov,Villarreal CF,Midfielder,,,1.0,,,s2122
Nikola Maras,Rayo Vallecano,Defender,,,1041.0,,4.0,s2122
Nikola Vukcevic,Levante UD,Midfielder,,,113.0,,1.0,s2122
Njegos Petrovic,Granada CF,Midfielder,1.0,,917.0,,5.0,s2122
Manuel Agudo Durán,RC Celta,Forward,,2.0,1382.0,,1.0,s2122
Näis Djouahra,R. Sociedad B,Midfielder,,,1009.0,,,s2122
Néstor Araújo,RC Celta,Defender,,,2617.0,,4.0,s2122
Oier Olazábal,RCD Espanyol de Barcelona,Goalkeeper,,,135.0,,,s2122
Oier Sanjurjo,CA Osasuna,Midfielder,,1.0,750.0,,3.0,s2122
Oier Zarraga,Athletic Club,Midfielder,,1.0,1151.0,,5.0,s2122
Oihan Sancet,Athletic Club,Midfielder,4.0,6.0,1424.0,,2.0,s2122
Okay Yokuslu,Getafe CF,Midfielder,,,463.0,,1.0,s2122
Omar Alderete,Valencia CF,Defender,,2.0,2411.0,,15.0,s2122
Omar Faraj,Levante UD,Forward,,,3.0,,,s2122
Omar Mascarell,Elche CF,Midfielder,,,2504.0,,6.0,s2122
Orbelín Pineda,RC Celta,Midfielder,,,94.0,,,s2122
Oscar Medina,Deportivo Alavés,Goalkeeper,,,,,,s2122
Ousmane Dembélé,FC Barcelona,Forward,13.0,1.0,1411.0,,3.0,s2122
Oussama Idrissi,Cádiz CF,Forward,1.0,1.0,908.0,,2.0,s2122
Pablo Barrios Rivas,,,,,,,,s2122
Pablo Cuñat,Levante UD,Goalkeeper,,,,,,s2122
Pablo Gálvez,RCD Mallorca,Forward,,,,,,s2122
Pablo Maffeo,RCD Mallorca,Defender,3.0,1.0,2950.0,,10.0,s2122
Pablo Martínez,SD Huesca,Midfielder,,1.0,923.0,,4.0,s2122
Pablo Piatti,Elche CF,Forward,,,307.0,,,s2122
Pablo Picón,Levante UD,Goalkeeper,,,,,,s2122
Pablo Pérez,Sevilla FC,Defender,,,,,,s2122
Francisco Alcácer,Villarreal CF,Forward,3.0,1.0,790.0,,1.0,s2122
Alejandro Gómez,Sevilla FC,Midfielder,1.0,5.0,1787.0,,4.0,s2122
Pathé Ciss,Rayo Vallecano,Midfielder,1.0,2.0,1085.0,,5.0,s2122
Pau Martínez,CA Osasuna,Forward,,,,,,s2122
Pau Torres,Villarreal CF,Defender,1.0,5.0,2856.0,,5.0,s2122
Paul Akouokou,Real Betis,Midfielder,,,517.0,1.0,2.0,s2122
Pedro González López,FC Barcelona,Midfielder,1.0,3.0,888.0,,,s2122
Pedro Alemañ,Valencia CF,Midfielder,,,,,,s2122
Pedro Benito,,,,,,,,s2122
Pedro Bigas,Elche CF,Defender,,1.0,1555.0,,6.0,s2122
Pedro Ortiz,Sevilla FC,Defender,,,6.0,,,s2122
José Sanchez,Granada CF,Defender,,,,,,s2122
José García,Levante UD,Midfielder,,,2016.0,,9.0,s2122
Pere Joan García,RCD Mallorca,Goalkeeper,,,,,,s2122
Pere Milla,Elche CF,Forward,3.0,8.0,1638.0,,5.0,s2122
Pere Pons,Deportivo Alavés,Midfielder,,1.0,1375.0,,2.0,s2122
Peru Nolaskoain,SD Amorebieta,Defender,,1.0,1437.0,,4.0,s2122
Pervis Estupiñán,Villarreal CF,Defender,1.0,,1574.0,,3.0,s2122
Peter Federico Gonzalez Carmona,Real Madrid,Midfielder,,,24.0,,,s2122
Philippe Coutinho Correia,A Villa,Midfielder,3.0,5.0,1339.0,,,s2122
Pierre-Emerick Aubameyang,FC Barcelona,Forward,1.0,11.0,1092.0,,,s2122
Cristian Portugués Manzanera,Real Sociedad,Midfielder,2.0,1.0,1586.0,,5.0,s2122
Joaquín José Marín Ruiz,Granada CF,Defender,1.0,,2304.0,,11.0,s2122
Radamel Falcao,Rayo Vallecano,Forward,,6.0,831.0,,1.0,s2122
Rafael Marín Zamora,Real Madrid,Defender,,,,,,s2122
Rafael Mir Vicente,Sevilla FC,Forward,,10.0,1801.0,,6.0,s2122
Rafael Alcántara do Nascimento,Real Sociedad,Midfielder,,1.0,1060.0,,3.0,s2122
Randy Nteka,Rayo Vallecano,Midfielder,,3.0,1461.0,,3.0,s2122
Raúl Albiol,Villarreal CF,Defender,,,2466.0,,8.0,s2122
Raúl García,Athletic Club,Midfielder,2.0,6.0,1812.0,,4.0,s2122
Raúl García,Real Betis,Forward,,,1.0,,,s2122
José Raúl Gutiérrez Parejo,Elche CF,Midfielder,,,1626.0,1.0,2.0,s2122
Raúl Parra,Cádiz CF,Defender,,,88.0,,,s2122
Raúl Torrente,Granada CF,Defender,,,1282.0,,5.0,s2122
Raúl de Tomás,RCD Espanyol de Barcelona,Forward,3.0,17.0,2923.0,2.0,5.0,s2122
Reinildo Isnard Mandava,Atlético de Madrid,Defender,,,1298.0,,4.0,s2122
Renan Augusto Lodi dos Santos,Atlético de Madrid,Defender,2.0,2.0,1174.0,,5.0,s2122
Renato Tapia,RC Celta,Midfielder,,,1402.0,,10.0,s2122
Rey Manaj,Spezia,Forward,,5.0,1768.0,,9.0,s2122
Ricard Puig Martí,FC Barcelona,Forward,,1.0,474.0,,,s2122
Roberto González,UD Las Palmas,Forward,,2.0,877.0,,3.0,s2122
Roberto Ibáñez Castro,CD Leganés,Forward,1.0,1.0,738.0,,1.0,s2122
Roberto Suárez Pier,Levante UD,Defender,,1.0,2008.0,1.0,3.0,s2122
Robert Navarro,R. Sociedad B,Midfielder,3.0,1.0,1664.0,,,s2122
Roberto Soldado,Levante UD,Forward,2.0,3.0,660.0,2.0,5.0,s2122
Roberto Torres,CA Osasuna,Midfielder,2.0,2.0,798.0,,3.0,s2122
Robin Le Normand,Real Sociedad,Defender,1.0,1.0,3330.0,,7.0,s2122
Rodrigo Sánchez,Real Betis,Midfielder,2.0,1.0,880.0,,,s2122
Rodrigo Battaglia,RCD Mallorca,Midfielder,,,1174.0,1.0,3.0,s2122
Rodrigo de Paul,Atlético de Madrid,Midfielder,1.0,3.0,2154.0,,7.0,s2122
Rodrygo Silva de Goes,Real Madrid,Forward,4.0,4.0,1527.0,,3.0,s2122
Roger Martí,Levante UD,Forward,3.0,7.0,2124.0,,8.0,s2122
Roger Martínez,RCD Espanyol de Barcelona,Midfielder,,,,,,s2122
Ronald Araújo,FC Barcelona,Defender,,4.0,2270.0,,6.0,s2122
Rubén Alcaraz,Cádiz CF,Midfielder,,2.0,1105.0,,7.0,s2122
Rubén Blanco,RC Celta,Goalkeeper,,,,,,s2122
Rubén Duarte,Deportivo Alavés,Defender,4.0,,2627.0,1.0,10.0,s2122
Rubén García,CA Osasuna,Forward,6.0,1.0,2395.0,,1.0,s2122
Rubén Iranzo,Valencia CF,Defender,,,134.0,,2.0,s2122
Rubén Peña,Villarreal CF,Forward,,,127.0,,1.0,s2122
Rubén Rochina,Granada CF,Midfielder,3.0,1.0,739.0,,3.0,s2122
Rubén Sobrino,Cádiz CF,Forward,1.0,4.0,1856.0,,3.0,s2122
Rubén Sánchez,RCD Espanyol de Barcelona,Midfielder,1.0,,148.0,,,s2122
Rubén Yáñez,Getafe CF,Goalkeeper,,,,,,s2122
Rui Tiago Dantas da Silva,Real Betis,Goalkeeper,,,1963.0,,2.0,s2122
Rúben Miguel Nunes Vezo,Levante UD,Defender,,,2420.0,,4.0,s2122
Salvador Sevilla,RCD Mallorca,Midfielder,3.0,5.0,1510.0,,2.0,s2122
Salvador Sánchez Ponce,Cádiz CF,Midfielder,1.0,2.0,1400.0,1.0,1.0,s2122
Samuel Chukwueze,Villarreal CF,Midfielder,3.0,3.0,1329.0,,4.0,s2122
Samuel Umtiti,FC Barcelona,Defender,,,90.0,,1.0,s2122
Sandro Ramírez,Getafe CF,Forward,,3.0,1471.0,,7.0,s2122
Santiago Mina Lorenzo,RC Celta,Forward,3.0,7.0,2378.0,,4.0,s2122
Santiago Arias,Granada CF,Defender,,1.0,433.0,,1.0,s2122
Santiago Arzamendia,Cádiz CF,Defender,,1.0,462.0,,2.0,s2122
Santiago Comesaña,Rayo Vallecano,Midfielder,2.0,1.0,2698.0,1.0,10.0,s2122
Saul García,Deportivo Alavés,Defender,,,3.0,,,s2122
Saúl Ñíguez,Chelsea,Midfielder,,,478.0,,1.0,s2122
Serge Aurier,Villarreal CF,Defender,1.0,,1003.0,,4.0,s2122
Sergi Darder,RCD Espanyol de Barcelona,Midfielder,9.0,3.0,3132.0,,4.0,s2122
Sergio Guardiola Navarro,Rayo Vallecano,Forward,2.0,8.0,1712.0,,3.0,s2122
Sergi Gómez,RCD Espanyol de Barcelona,Defender,2.0,1.0,2723.0,1.0,1.0,s2122
Sergi Roberto,FC Barcelona,Defender,1.0,2.0,399.0,,1.0,s2122
Sergio Agüero,,,,,,,,s2122
Sergio Asenjo,,,,,,,,s2122
Sergio Barcia,Granada CF,Defender,,,77.0,,,s2122
Sergio Bono,,,,,,,,s2122
Sergio Busquets,FC Barcelona,Midfielder,,2.0,3202.0,,12.0,s2122
Sergio Camello,CD Mirandés,Forward,4.0,15.0,2894.0,,6.0,s2122
Sergio Canales,Real Betis,Midfielder,7.0,5.0,2803.0,,7.0,s2122
Sergio Diez Roldán,Atlético de Madrid,Defender,,,,,,s2122
Sergio Escudero,Granada CF,Defender,1.0,2.0,1428.0,,6.0,s2122
Sergio Herrera,CA Osasuna,Goalkeeper,,,3240.0,,3.0,s2122
Sergio Moreno,SD Amorebieta,Forward,,,663.0,,2.0,s2122
Sergio Postigo,Levante UD,Defender,,,849.0,,3.0,s2122
Sergio Rico,RCD Mallorca,Goalkeeper,,,1260.0,,,s2122
Sergio Santos,Real Madrid,Defender,,,10.0,,,s2122
Sergiño Dest,FC Barcelona,Defender,3.0,,1514.0,,2.0,s2122
Shkodran Mustafi,Levante UD,Defender,,1.0,658.0,,1.0,s2122
Sidnei Rechel da Silva Júnior,,,,,,,,s2122
Sime Vrsaljko,Atlético de Madrid,Defender,2.0,1.0,908.0,,4.0,s2122
Francisco Javier Hidalgo,Levante UD,Midfielder,,1.0,1978.0,1.0,5.0,s2122
Stefan Mitrovic,Getafe CF,Defender,,,2670.0,1.0,8.0,s2122
Stefan Savic,Atlético de Madrid,Defender,,,2440.0,,12.0,s2122
Stole Dimitrievski,Rayo Vallecano,Goalkeeper,,,2771.0,,,s2122
Jesús Fernández Saez,Sevilla FC,Forward,1.0,,388.0,,,s2122
Alberto Rodríguez,CF Fuenlabrada,Defender,,,681.0,,5.0,s2122
Taichi Hara,,,,,,,,s2122
Takefusa Kubo,RCD Mallorca,Midfielder,,1.0,1606.0,,4.0,s2122
José Antonio Morente Oliva,Elche CF,Midfielder,3.0,3.0,1634.0,,4.0,s2122
Thiago Galhardo do Nascimento Rocha,RC Celta,Forward,2.0,2.0,1132.0,,5.0,s2122
Thibaut Courtois,Real Madrid,Goalkeeper,,,3240.0,,1.0,s2122
Thierry Rendall Correia,Valencia CF,Defender,1.0,,1424.0,,5.0,s2122
Thomas Carrique,RC Celta,Defender,,,,,,s2122
Thomas Delaney,Sevilla FC,Midfielder,1.0,2.0,1544.0,1.0,2.0,s2122
Thomas Giaquinto,RCD Mallorca,Midfielder,,,,,,s2122
Thomas Lemar,Atlético de Madrid,Midfielder,5.0,4.0,1445.0,,2.0,s2122
Tomás Alarcón,Cádiz CF,Midfielder,1.0,,1423.0,,5.0,s2122
Tomás Mendes,Deportivo Alavés,Midfielder,,,8.0,,,s2122
Tomás Pina,Deportivo Alavés,Midfielder,,,1442.0,,4.0,s2122
Toni Fuidias,Real Madrid,Goalkeeper,,,,,,s2122
Toni Kroos,Real Madrid,Midfielder,3.0,1.0,2108.0,,4.0,s2122
Antonio Latorre,Valencia CF,Defender,1.0,,591.0,,5.0,s2122
Antonio Moya,Deportivo Alavés,Defender,1.0,,1383.0,,2.0,s2122
Tonny Vilhena,RCD Espanyol de Barcelona,Midfielder,1.0,1.0,936.0,,4.0,s2122
Unai Dufur,CA Osasuna,Midfielder,,,90.0,,,s2122
Unai García,CA Osasuna,Defender,,,1407.0,,5.0,s2122
Unai López,Rayo Vallecano,Midfielder,,,1154.0,,5.0,s2122
Unai Marrero,R. Sociedad B,Goalkeeper,,,171.0,,,s2122
Unai Núñez,Athletic Club,Defender,,,620.0,,2.0,s2122
Unai Ropero,Deportivo Alavés,Forward,,,11.0,,,s2122
Unai Simón,Athletic Club,Goalkeeper,,,3060.0,,3.0,s2122
Unai Vencedor,Athletic Club,Midfielder,,,2396.0,,4.0,s2122
Urko González de Zárate,R. Sociedad B,Defender,1.0,,3028.0,,4.0,s2122
Uros Racic,Valencia CF,Midfielder,,,1198.0,1.0,1.0,s2122
Valentino Fattore,Sevilla FC,Defender,,,1.0,,,s2122
Varazdat Haroyan,Cádiz CF,Defender,,1.0,1437.0,,9.0,s2122
Vedat Muriqi,RCD Mallorca,Forward,3.0,5.0,1439.0,,6.0,s2122
Vicente Iborra,Villarreal CF,Midfielder,1.0,,1031.0,,4.0,s2122
Victor Wehbi Aznar Ussen,Cádiz CF,Goalkeeper,,,,,,s2122
Victor Chust,Cádiz CF,Defender,,,1829.0,,2.0,s2122
Victor Mollejo,CD Tenerife,Forward,2.0,3.0,2459.0,1.0,8.0,s2122
Vinícius Júnior,Real Madrid,Forward,10.0,17.0,2699.0,,6.0,s2122
Víctor Machín Pérez,Getafe CF,Forward,,,216.0,,,s2122
Víctor Camarasa,Real Betis,Midfielder,,,102.0,,,s2122
Víctor Díaz,Granada CF,Defender,,1.0,1504.0,,5.0,s2122
Víctor Gómez,Málaga CF,Defender,5.0,,3007.0,1.0,7.0,s2122
Víctor Laguardia,Deportivo Alavés,Defender,2.0,3.0,3044.0,,9.0,s2122
Víctor Ruiz,Real Betis,Defender,,,1425.0,,2.0,s2122
William Silva de Carvalho,Real Betis,Midfielder,3.0,2.0,1803.0,,6.0,s2122
Willian José Da Silva,Real Betis,Forward,4.0,8.0,1610.0,,1.0,s2122
Lei Wu,RCD Espanyol de Barcelona,Forward,,1.0,458.0,,,s2122
Joaquín Navarro Jiménez,Deportivo Alavés,Defender,,,1350.0,1.0,4.0,s2122
Yacine Qasmi,CD Leganés,Forward,,3.0,681.0,,5.0,s2122
Yan Eteki,Granada CF,Midfielder,,,337.0,,3.0,s2122
Yangel Herrera,RCD Espanyol de Barcelona,Midfielder,1.0,1.0,1650.0,1.0,5.0,s2122
Yannick Carrasco,Atlético de Madrid,Midfielder,6.0,6.0,2589.0,,5.0,s2122
Yassin Fekir,,,,,,,,s2122
Yassine Bounou,Sevilla FC,Goalkeeper,2.0,,2790.0,,2.0,s2122
Yeray Álvarez,Athletic Club,Defender,,,1859.0,,6.0,s2122
Yéremi Pino,Villarreal CF,Forward,4.0,6.0,1685.0,,2.0,s2122
Yoel Ramírez,CA Osasuna,Goalkeeper,,,,,,s2122
Youssef En-Nesyri,Sevilla FC,Forward,1.0,5.0,1279.0,,1.0,s2122
Youssouf Sabaly,Real Betis,Defender,1.0,,789.0,,1.0,s2122
