player_name,team,position,assists,goals,minutes_played,red_cards,yellow_cards,season
Benjamin Lecomte,Atlético de Madrid,Goalkeeper,,,,,1.0,s2122
Beñat Turrientes,R. Sociedad B,Midfielder,1.0,,1751.0,,4.0,s2122
Borja Iglesias,Real Betis,Forward,,10.0,1570.0,,4.0,s2122
Borja Mayoral,Getafe CF,Forward,1.0,6.0,1046.0,,3.0,s2122
Boulaye Dia,Villarreal CF,Forward,5.0,5.0,1266.0,,3.0,s2122
Brais Méndez,RC Celta,Midfielder,5.0,4.0,3036.0,,8.0,s2122
Brian Oliván,RCD Mallorca,Defender,,1.0,2188.0,,7.0,s2122
Bryan Gil,Valencia CF,Forward,1.0,,755.0,,3.0,s2122
Bryan Zaragoza,Granada CF,Midfielder,,,,,,s2122
Carles Aleñá,Getafe CF,Midfielder,2.0,1.0,2339.0,1.0,6.0,s2122
Carles Marco,Elche CF,Defender,,,,,,s2122
Carlo García,Villarreal CF,Midfielder,,,6.0,,,s2122
Carlos Akapo Martínez,Cádiz CF,Defender,,,1847.0,,4.0,s2122
Carlos Bacca,Granada CF,Forward,1.0,,508.0,,3.0,s2122
Carlos Benítez Royo,Levante UD,Midfielder,,,,,,s2122
Carlos Clerc,Levante UD,Defender,,,1517.0,,6.0,s2122
Carlos Domínguez,RC Celta,Defender,,,341.0,,1.0,s2122
Carlos Giménez,Levante UD,Defender,,,,,,s2122
Carlos Martín Domínguez,Atlético de Madrid,Midfielder,,,5.0,,1.0,s2122
Carlos Neva,Granada CF,Defender,,,2115.0,,1.0,s2122
Carlos Soler,Valencia CF,Midfielder,5.0,11.0,2480.0,,4.0,s2122
Carlos Henrique Casimiro,Real Madrid,Midfielder,3.0,1.0,2575.0,,11.0,s2122
Cesar Fernandez,RC Celta,Goalkeeper,,,,,,s2122
Carlos Manuel Pérez Sánchez,Valencia CF,Goalkeeper,,,,,,s2122
Cheikh Kane Sarr,Granada CF,Goalkeeper,,,,,,s2122
José Manuel Rodríguez Benito,SD Eibar,Defender,,1.0,1117.0,,5.0,s2122
Ezequiel Ávila,CA Osasuna,Forward,1.0,6.0,1873.0,1.0,7.0,s2122
Diego Trueba Chinchurreta,Getafe CF,Defender,,,,,,s2122
Claudio Bravo,Real Betis,Goalkeeper,,,1457.0,,2.0,s2122
