player_name,team,position,minutes_played,goals,assists,yellow_cards,red_cards,Shots per 90,Tackles per 90,Total Saves,Total Interceptions,Pass Success (%),Fouls Committed per 90,Expected Goals (xG),Clean Sheets,Big Chances Created,FotMob Rating
Arnau Martinez,Girona,Not Available,1240,0,2,5,0,0.1,1.2,0,10,89.9,1.0,0.2,0,3,6.81
Arnau Puigmal,Almería,Not Available,248,0,0,3,0,,,0,0,,,,0,0,
Arsen Zakharyan,Real Sociedad,Not Available,1229,1,2,1,0,2.4,1.1,0,4,77.1,1.5,2.4,0,3,6.64
Artem Dovbyk,Girona,Not Available,2605,24,8,2,0,2.9,0.1,0,0,71.8,0.9,24.3,0,10,7.26
Arthur Vermeeren,Atlético de Madrid,Not Available,159,0,0,2,0,,,0,0,,,,0,0,
Asier Villalibre,Athletic Club,Not Available,503,2,1,0,0,,,0,0,,,1.7,0,2,
Assane Diao,Real Betis,Not Available,1052,2,0,4,0,,,0,0,,,2.5,0,0,
Augusto Batalla,Granada CF,Not Available,1530,0,0,3,0,,,0,0,,,0.0,3,0,
Aurélien Tchouaméni,Real Madrid,Not Available,1987,3,1,7,0,1.2,1.0,0,28,92.0,0.9,1.3,0,1,7.29
Axel Witsel,Atlético de Madrid,Not Available,2784,2,0,5,0,0.2,0.7,0,16,92.2,0.8,1.0,0,1,7.01
Ayoze Pérez,Real Betis,Not Available,2307,9,1,4,0,2.7,1.2,0,22,79.7,1.4,7.4,0,7,7.2
Bebé,Rayo Vallecano,Not Available,193,2,0,1,0,7.5,0.9,0,0,72.1,,1.4,0,0,
Ben Brereton Diaz,Villarreal,Not Available,261,0,0,2,0,,,0,0,,,0.3,0,0,
Beñat Prados,Athletic Club,Not Available,1450,0,0,1,0,0.4,1.7,0,23,83.4,1.8,0.5,0,1,6.87
